ZONE,STATE,DEALER NAME,CHEQUE BOUNCE,DEALER YEARS,PHONE NUMBER,EMAIL ADDRESS,Q1016,Q2016,Q3016,Q4016,Q1017,Q2017,Q3017,Q4017,Q1018,CREDITABILITY
1,12,MYSORE NIRMITHI KENDRA., 2 ,15,1,1,"6,63,505","6,48,203","10,24,738","1,34,394",0,0,0,0,"3,30,000",1
3,29,N & N TRADERS, 1 ,11,2,1,0,0,0,0,"2,93,889",0,0,0,0,0
1,24,N BALASUBRAMANIAM, 2 ,13,2,2,"15,01,655","9,91,464","18,00,101","16,71,775","7,93,713","26,71,017","6,27,633","13,76,762","11,25,260",1
3,29,N NATH HARDWARE, 2 ,13,2,2,"7,35,804","5,83,802","2,87,536","4,17,636","5,89,575","2,81,534","6,48,898","5,17,575","7,89,705",1
1,12,N.G. SUBRAMANYA SHETTY, 2 ,7,2,1,"1,19,358",0,0,0,0,0,0,0,0,1
2,22,N.G.Tak & Company, 2 ,6,2,1,"36,565",0,0,"3,20,193",0,"1,15,956","4,84,495",0,"1,96,800",1
1,13,N.P.T TRADERS, 2 ,10,2,1,"5,96,538","4,66,282","2,58,332","5,25,719","4,93,448","6,22,068","3,88,566","2,61,819","9,85,466",1
1,24,N.V.VAIDYANATHAN AGENCIES, 2 ,6,2,1,"1,78,747","59,320",0,0,0,0,0,0,0,1
1,24,N.Venkatraman & Co, 2 ,10,2,1,0,0,0,0,0,0,0,0,0,1
1,12,NAGANNA HARDWARE, 2 ,6,2,1,"3,17,835",0,0,0,0,0,0,0,0,1
1,12,NAGESH VAMAN PRABHU, 2 ,12,2,1,"16,01,800",0,"1,70,929","3,96,344","15,31,286","1,91,464","1,88,640","7,69,372","16,06,795",1
4,15,NAGINA SALES CORPORATION, 2 ,5,1,1,0,0,0,0,0,0,0,0,0,1
1,24,NAIDU AND SONS, 2 ,8,2,1,"2,82,058","2,67,400","2,67,500","1,32,000","1,41,950","1,33,600",0,"2,50,430","2,75,560",1
3,29,Najmunnahar Enterprise, 2 ,10,2,1,"11,23,220","4,23,478","6,69,858","5,40,280","13,84,494","1,37,686","6,72,462","10,66,165","11,17,292",1
4,7,NANAVATI CORPORATION, 2 ,13,2,2,"2,47,078","1,11,240","2,37,112","6,43,945","1,28,063",0,0,0,"1,47,234",1
3,29,NANDI BUILDERS, 1 ,16,2,2,"1,35,59,320","67,76,474","58,55,784","80,25,407","1,37,15,228","71,14,331","64,81,391","82,16,667","1,27,18,868",0
1,12,NANDI TRADERS, 2 ,15,2,1,"4,08,309","1,63,803","1,33,374","1,31,594","1,34,600",0,0,"1,33,834","2,76,552",1
1,12,NANDI TRADERS (MUDALGI), 2 ,15,2,1,"14,27,178","7,85,975","4,13,012","6,94,415","13,63,286","8,69,764","9,05,520","10,72,867","22,02,128",1
4,15,NANDWANA & COMPANY, 2 ,7,1,1,0,0,0,0,0,0,0,0,0,1
2,27,Narayan cement agency, 2 ,6,2,1,0,0,0,0,0,0,0,0,0,1
5,14,NARESH HARDWARE, 2 ,13,1,1,"2,43,200",0,"2,33,625","2,24,200","2,39,740","82,500","1,84,875","4,36,550","2,00,688",1
4,15,NASIR TRADING CO, 2 ,15,2,1,"61,96,180","3,12,700","9,94,096","20,04,047","34,52,755","8,53,277","6,77,209","19,08,276","22,00,311",1
1,24,NATIONAL FERTILIZER, 2 ,10,2,1,"3,17,613","1,77,775",0,"3,75,615","3,82,253",0,"2,00,075","3,03,320","4,47,961",1
4,15,National Roofing Services, 2 ,7,1,1,0,"1,24,929","49,500",0,"1,54,750",0,0,"2,50,128","3,15,037",1
1,24,NATIONAL TIMBER DEPOT, 2 ,4,2,1,0,0,0,0,0,0,0,0,0,1
1,12,NAVAKAR GLASS CENTER, 1 ,7,2,1,0,0,0,0,0,0,0,0,0,0
1,12,NAVARATANA TRADERS, 2 ,14,2,1,"6,45,916","1,27,597",0,"3,97,016","7,13,675","3,82,060","2,57,505","2,63,639","7,97,516",1
2,8,NAVEEN CEMENT STORES, 2 ,11,2,1,"3,51,825",0,"1,60,425","1,71,217","1,71,645",0,"1,86,248",0,"3,83,665",1
2,27,Naveen Steel, 2 ,10,2,1,0,0,0,0,0,0,0,0,0,1
2,8,NAVEEN TRADERS, 2 ,8,1,1,0,0,0,0,0,0,0,0,0,1
4,15,NAVKAR TRADERS, 1 ,8,2,1,"6,73,510","1,70,115","2,43,900","4,36,430","12,07,445","8,36,468","2,93,405","4,93,723","4,95,053",0
4,7,NAVSARI TAL.CO0OP PURCHASE0SALES UN, 2 ,11,2,2,"20,54,908","1,44,736","7,61,692","12,66,402","3,95,149","42,775","9,60,024","3,42,915","11,23,518",1
5,14,NAYAK IRON TRADERS, 2 ,12,2,1,"6,93,600",0,"3,31,581","11,04,295","3,47,500",0,"5,17,060","3,76,950","7,66,850",1
1,13,NEDUMKANDAM TRADING COMPANY, 2 ,8,2,1,0,0,0,0,0,0,0,0,0,1
2,22,Neel Kanth Steels, 2 ,14,1,1,"3,22,116",0,"1,50,212","1,57,986","3,39,901",0,0,0,0,1
5,14,NEELAM TRADERS, 2 ,11,2,1,0,"2,43,360","4,71,585","9,32,411","2,54,400","2,25,735","10,14,060","6,49,475",0,1
5,14,NEELESH AGENCEY, 1 ,9,1,1,"96,496","1,44,745","10,763",0,0,0,0,0,0,0
5,14,NEERAJ AGENCIES, 2 ,14,2,1,"36,91,123",0,"32,16,555","61,10,760","2,53,890",0,"26,59,960","22,09,985","49,17,555",1
5,27,NEERAJ LOHA BHANDAR, 2 ,6,2,1,"1,31,505",0,0,0,0,0,0,0,0,1
5,27,NEHA ENTERPRISES, 2 ,13,2,1,"34,47,983","13,50,292","17,07,126","24,93,740","51,64,161","22,83,468","25,24,747","20,06,092",0,1
3,29,Nepal Chandra Ghosh, 2 ,14,2,1,"4,36,708","2,88,367","1,55,452","3,22,766","4,57,346","2,92,613","2,85,555","5,61,156","7,08,943",1
3,29,NEW BANAMATA STORES, 2 ,15,2,2,"28,79,405","9,05,037","13,64,440","17,80,723","46,29,863","12,12,110","12,87,924","22,53,305","31,95,436",1
5,27,NEW BHAGWATI MACHINARY STORES, 2 ,9,2,1,0,0,0,0,0,0,0,0,0,1
1,24,NEW DHARAPURAM STEELS, 2 ,5,2,1,"1,41,275",0,0,0,0,0,0,0,0,1
3,29,NEW EDGE EXCLUSIVE SERVICES, 2 ,5,1,1,0,0,0,0,0,0,0,0,0,1
1,24,NEW GHOUSIA TRADERS, 2 ,11,2,1,"1,56,147","5,86,912",0,0,0,0,0,0,0,1
2,21,NEW GOYAL TRADING CO, 2 ,7,2,1,"1,85,255",0,0,0,0,"2,25,653","1,91,580","1,98,690",0,1
2,21,NEW GURU NANAK BUILDING MATERIAL ST, 1 ,14,2,1,"2,97,678","1,53,090",0,0,0,"1,75,775",0,0,0,0
1,24,NEW HINDUSTAN STEELS, 2 ,12,2,1,"2,83,143","2,17,144",0,0,0,0,0,0,0,1
1,24,NEW INDIAN STEEL, 2 ,14,2,1,"4,65,379","4,60,533","6,96,493","2,94,494","6,31,591","4,52,897","5,93,626","3,87,687",0,1
5,14,NEW KISHAN BUILDING MATERIAL, 1 ,8,1,1,"2,64,825",0,"2,46,400","2,47,095","2,50,250",0,0,"5,29,505",0,0
3,4,New Kumar Iron, 2 ,9,2,1,"3,91,318","1,29,941","1,40,186","1,56,365","3,01,419",0,"1,31,990",0,0,1
5,14,NEW LAXMI TRADERS, 2 ,11,2,1,0,0,0,"4,94,550",0,0,0,0,0,1
3,29,NEW RAMKRISHNA HW, 2 ,15,2,2,"28,26,524","13,41,077","8,74,394","21,49,452","21,00,593","10,06,791","17,07,950","21,85,117","26,91,862",1
3,29,NEW SARKAR HARDWARE, 2 ,14,2,1,"10,09,210","13,04,153","4,28,930","11,12,143","18,70,869","15,49,532","15,23,323","12,37,027","16,67,329",1
2,21,NEW SASTA IRON TRADERS, 1 ,8,2,1,"1,55,943","2,79,970","2,19,194","1,13,571","1,51,655","2,54,691","1,18,853","1,87,853","1,04,250",0
3,29,NEW SHIBANI HARDWARE STORE, 2 ,8,2,1,"1,78,600",0,0,0,0,0,0,0,0,1
3,29,New Shree Durga Trading Co., 2 ,16,2,2,"24,60,217","17,33,532","9,78,796","21,08,593","29,23,673","11,02,184","12,22,075","24,23,800","28,91,549",1
1,1,New Sri Lakshmi Narshima Traders, 2 ,9,2,1,0,0,0,0,0,0,0,0,0,1
1,24,NEW TAMILNADU STEEL CORPORATION, 2 ,12,2,2,"4,36,454","5,69,453","2,66,050","6,69,121","3,93,973","2,54,759","3,97,536","3,95,723","6,66,169",1
5,27,NEW VERMA TRADING CO., 2 ,6,2,1,"1,36,871",0,0,0,0,0,0,0,0,1
2,21,NIJJAR SANITARY STORE, 2 ,10,2,1,"1,59,026",0,0,0,0,0,0,0,0,1
5,14,NIKHIL TRADERS, 2 ,13,2,2,"32,58,256","10,12,978","4,77,065","9,03,804","22,82,909","6,45,835","6,09,913","10,27,500","20,28,225",1
5,27,NIKHIL TRADERS, 2 ,5,2,1,0,0,0,0,0,0,0,0,0,1
2,8,NILE OVERSEAS, 2 ,5,1,1,0,0,0,0,0,0,0,0,0,1
4,15,NILESH SALES, 2 ,11,2,1,0,0,0,0,"1,20,000",0,0,0,"65,625",1
4,7,NILKANTH SALES CORPORATION, 2 ,4,2,1,0,0,0,0,0,0,0,0,0,1
5,14,nimbuawale sanitary and hardware ho, 2 ,12,2,2,"16,21,730","3,67,938","7,09,078","2,50,645","3,89,940","2,50,400","1,18,400","2,28,885","3,06,810",1
2,8,NIRANJAN DAS GYAN PRAKASH, 2 ,4,1,1,0,0,0,0,0,"1,09,177","1,18,566",0,0,1
1,13,NIRMAL AGENCIES, 2 ,6,2,1,0,0,0,0,0,0,0,0,0,1
5,14,NIRMAN AGENCY, 2 ,8,2,1,0,0,0,0,0,0,0,0,0,1
3,29,NIRMAN HARDWARE, 2 ,16,2,1,"5,81,918","2,75,793","2,36,760","4,67,005","6,24,198",0,"2,64,486","2,21,720","4,72,901",1
5,14,NIRMAN STEELS, 2 ,15,2,1,0,"3,62,250","4,18,780","2,28,000",0,0,"1,75,200","4,08,175","9,14,650",1
3,4,NIRMAN TRADERS, 2 ,8,2,1,"68,786","1,41,761","71,056",0,0,"73,127",0,0,0,1
1,24,NITHIN POULTRY FORM, 2 ,9,2,1,"5,24,250","7,10,438","1,32,675","4,17,998",0,0,"47,425",0,"10,602",1
4,15,NITIN MAHADEO PATANGE BMS, 2 ,14,2,2,"8,35,636","3,64,316","10,82,729","7,10,548","5,15,840",0,"3,47,950","1,13,800",0,1
1,24,NIVAS TIMBER MART, 2 ,14,2,1,"1,03,747",0,0,"2,47,797",0,0,0,"95,588",0,1
1,24,2.1 STEELS, 2 ,15,2,2,"4,92,828","3,06,415","2,66,477","98,648","3,30,411","2,87,680","3,75,775","1,78,978","4,58,292",1
4,7,2BLE ENTERPRISE, 2 ,7,2,2,0,0,0,0,0,0,0,0,0,1
1,24,2ORULLAH AGENCIES, 2 ,11,2,1,"28,15,571","21,28,694","8,76,582","13,94,271",0,0,0,0,0,1
2,31,O. P. GHAI & CO., 2 ,6,1,1,"3,36,461",0,"1,58,005","1,60,621",0,"3,66,000","3,51,600","1,80,000","1,82,780",1
5,14,O.P.SPARE PARTS, 2 ,9,2,1,0,"1,83,750",0,0,0,0,0,0,0,1
2,21,OBEROI STEELS, 2 ,10,2,1,"6,41,366","6,51,828","5,01,865","6,25,710","6,50,826","10,73,683","8,55,888","6,91,655","11,66,258",1
3,4,Obra Cement Store, 2 ,14,2,1,"3,64,763",443,0,"1,54,076",0,0,0,0,"2,88,144",1
1,13,OCEAN ENTERPRISES, 1 ,8,2,1,0,"1,32,487","1,29,741",0,"1,19,134",0,"1,12,216",0,"1,18,830",0
2,27,Om Asbestos traders, 1 ,17,2,2,"1,84,71,852","1,16,41,444","99,57,502","1,18,47,975","1,24,10,820","1,04,64,741","1,63,49,840","1,30,13,679","1,71,42,792",0
2,22,OM Builders, 2 ,11,2,1,0,0,0,0,0,0,0,0,0,1
2,27,Om Building Material, 1 ,4,1,1,0,"3,25,184","1,71,058",0,"82,197","81,687","2,31,240",0,0,0
3,4,OM HARDWARE, 2 ,16,2,1,"1,94,318","4,76,737","70,522","1,78,751","3,96,082","1,70,098","1,78,147","1,52,487","4,16,119",1
3,20,OM MAA GAYATRI STORE, 2 ,13,2,1,0,0,0,0,0,0,0,"1,89,540","8,96,460",1
3,20,OM MAA KHETRAPAL  TRADERS, 2 ,16,2,2,"1,75,85,845","74,70,940","98,70,283","1,43,75,439","3,22,44,718","1,44,61,595","1,35,32,021","1,76,01,621",0,1
2,27,Om Madhu Krishna Agrotech, 2 ,10,1,1,0,0,0,0,0,0,0,0,0,1
1,24,OM MURUGA STEELS, 2 ,15,2,2,"1,35,300","4,66,249","4,77,093","1,47,995","2,24,206","5,83,635","3,47,170","3,41,845","18,92,871",1
2,22,Om Namah Shivay Steel & Iron, 2 ,11,2,1,"3,46,584","1,83,701",0,"1,58,230","4,90,604","3,48,406","3,12,957","3,49,440","5,70,583",1
5,14,OM SAI TRADERS, 2 ,12,2,1,0,0,0,"7,77,850","7,88,760",0,0,0,0,1
5,14,om sai traders, 2 ,9,1,1,0,0,0,0,0,0,0,0,0,1
4,15,OM SAI TRADERS, 2 ,5,1,1,0,0,0,0,0,0,0,0,0,1
1,24,OM SAKTHI TIMBER TIMBER, 2 ,10,2,1,"8,91,475","6,39,663","6,27,038","6,00,543","5,73,334","4,13,426","3,65,115","5,29,645","8,46,415",1
1,1,OM SAKTHI TRADERS, 2 ,8,2,1,"1,25,180","3,80,231","2,71,928","1,23,150",0,0,0,0,0,1
1,24,OM SENTHIL KUMARAN TILES, 2 ,7,2,1,"2,59,202",0,0,0,0,0,0,0,0,1
1,24,OM SERMA ENTERPRISES, 2 ,3,2,1,0,0,0,0,0,0,0,0,0,1
2,27,OM SHRI OM TRADERS, 2 ,5,1,1,0,0,0,0,0,0,0,0,0,1
5,14,OM SMELTERS & ROLLERS PVT.LTD, 2 ,14,1,1,0,0,0,0,0,0,0,"1,51,700",0,1
5,27,OM STEEL COMPANY, 2 ,16,1,1,"14,35,797",0,"7,82,408","5,56,617","1,99,886",0,0,"1,94,948","2,59,749",1
5,14,OM TRADERS (VIDISHA), 1 ,7,1,1,0,0,0,0,0,0,0,0,0,0
4,15,OMKAR BUILDING MATERIAL, 2 ,7,1,1,0,0,0,0,0,0,0,0,0,1
4,15,OMKAR TRADERS, 2 ,14,2,1,"2,45,765","1,21,600","5,59,838","11,67,577","29,78,340","2,34,488",0,0,0,1
3,20,OMM TRADERS, 2 ,10,2,1,"10,82,707","5,12,842","5,08,318","8,36,362","8,51,483","1,63,298","3,43,518","6,71,800","8,39,875",1
5,27,ONKAR NATH RAJEEV GUPTA, 1 ,5,1,1,0,0,0,0,0,0,0,0,0,0
4,15,ORCHID VENEERS & PLY, 2 ,7,2,1,"71,100","4,163",0,0,0,"1,13,100",0,0,0,1
4,15,P. S. STEEL TUBES LIMITED, 1 ,11,1,1,0,0,0,0,0,0,0,0,0,0
1,24,P.ARUL MANI, 2 ,6,1,1,0,0,0,0,0,0,0,0,0,1
1,24,P.BALU POULTRY FARMS, 1 ,9,1,1,0,"1,27,313",0,"1,27,313","3,25,518",0,0,0,0,0
1,24,P.N.PERIYASAMY TIMBER DEPOT, 1 ,5,1,1,0,0,0,0,0,0,0,0,0,0
4,15,P.N.Rathod Agencies, 2 ,12,2,2,"25,69,984","3,73,600","1,81,480","11,18,550","20,55,543","6,85,592","10,37,163","19,01,101","28,02,530",1
1,13,P.P.TRADERS, 2 ,12,2,1,"10,16,081","3,43,153","3,70,735","4,90,109","8,64,958","2,34,082","2,22,542","6,06,567","9,10,411",1
1,24,P.T.MARUDHAVEL AGENCIES, 2 ,7,2,1,"93,213","50,211",0,0,"50,204","72,848","39,432","1,23,421","67,747",1
2,21,PABBI SALES CORPORATION, 2 ,15,2,1,"6,28,047","7,91,535","8,35,954","10,12,864","6,72,700","9,11,218","8,74,232","15,59,924","22,56,165",1
1,13,PACHAMBALA TRADERS, 1 ,9,2,1,0,"1,21,724","1,20,993","1,31,710",0,"68,347","1,21,339","55,481","1,17,208",0
1,12,PADAMAMBA ENTERPRISES, 2 ,8,2,1,"1,44,956",0,0,0,0,0,0,0,0,1
4,15,PADMAKAR NARAHAR BHIDE, 2 ,5,1,1,0,0,0,0,0,0,0,0,0,1
4,7,PADMAVATI SALT PVT LTD, 2 ,8,1,1,0,0,0,0,0,0,0,0,0,1
1,12,PAI ASSOCIATES, 2 ,17,2,2,"57,29,380","14,97,344","22,56,869","27,64,298","38,21,931","22,32,044","18,81,010","26,70,711","28,33,678",1
1,12,PAI ASSOCIATES, 2 ,8,2,1,"4,23,307","78,096","2,58,405","1,09,668","4,59,677","1,67,248","1,60,272","1,55,531","2,64,046",1
3,29,PAL & COMPANY, 2 ,10,2,1,0,0,0,0,0,0,0,0,0,1
1,24,PALANI ANDAVAR SLAB, 2 ,11,2,1,"2,86,715","6,40,705","1,53,038","3,03,655","1,38,780","3,92,670","2,91,685","1,55,200","3,78,170",1
5,5,PALIWAL MACHINERY, 2 ,14,1,1,0,0,0,0,0,0,0,0,0,1
2,21,PALWINDER SINGH S/O BALDEV SINGH, 2 ,7,1,1,0,0,0,0,0,0,0,0,0,1
1,13,PANAAMPARAMPIL STORES, 2 ,11,2,1,"2,24,952","2,48,217","1,63,493","2,62,568","3,86,059",0,"1,19,124","2,04,671","3,71,720",1
4,15,PANACHE ALUMINIUM EXTRUSIONS PVT LT, 2 ,10,1,1,0,0,0,0,0,0,0,0,0,1
1,13,PANACKATHOTTAM BUILDING MATERIALS, 2 ,5,1,1,0,0,0,0,0,0,0,0,0,1
4,15,PANAP MARKETING, 2 ,16,2,2,"8,99,853","1,00,320",0,"2,05,354","15,65,803","10,51,935","6,65,030","3,66,719","12,35,377",1
2,27,Panchamukhi Iron Store, 2 ,11,2,2,"1,08,904",0,0,"1,08,904",0,0,0,0,0,1
1,13,PANDARAPALLIL TRADERS, 2 ,5,2,1,0,0,0,0,0,0,0,0,0,1
3,20,PANIGRAHI TRADING CO., 2 ,12,2,1,0,0,0,0,0,0,0,0,0,1
3,20,PANIGRAHY TRADERS, 2 ,12,2,1,"2,92,617","2,20,110",0,"2,68,767","2,73,600","2,73,450",0,"2,09,100","2,80,638",1
2,8,PANIPAT TRADING CO, 1 ,8,1,1,0,0,0,0,0,0,0,0,0,0
3,4,PANKAJ HARDWARE, 2 ,12,2,1,"3,17,363",0,"2,21,152",0,0,"1,87,609",0,0,0,1
4,15,PANKAJ TRADERS, 2 ,14,2,2,"23,09,857","3,56,882","3,64,895","14,95,068","25,73,613","7,60,347","9,27,993","11,72,775","21,35,812",1
5,14,PANKAJ TRADERS, 2 ,12,2,1,"46,56,543","7,18,340","11,74,340","26,92,184","15,89,370","9,96,080","11,80,783","11,05,840","40,56,904",1
5,14,Pankaj Traders, 2 ,15,2,1,"8,09,870",0,0,0,0,0,"2,24,708","2,14,238",0,1
4,15,PANKAJ TRADERS, 2 ,4,2,1,"1,03,040",0,0,0,"5,47,152",0,0,0,0,1
2,22,PANWAR HARDWARE, 2 ,14,2,1,0,0,0,"1,82,435","2,01,000",0,0,0,0,1
2,8,PAPNEJA STEEL, 2 ,15,2,1,"2,49,926","1,25,347","1,11,295",0,"2,20,190","1,10,553","3,15,084",0,"1,36,707",1
5,14,PAPPU HARDWARE, 2 ,10,2,2,"7,09,450",0,"4,88,000","9,76,775","32,07,318","4,69,296","9,44,110",0,"21,73,984",1
2,8,PAPU POULTERY FARMS, 2 ,7,1,1,0,0,0,0,0,0,0,0,0,1
1,24,PARAHATH TRADERS, 1 ,8,2,1,"1,92,936","3,29,250","1,36,254",0,"1,78,933","2,37,626",0,0,"1,46,771",0
5,14,PARAKH BROTHERS, 2 ,8,1,1,0,0,0,0,0,0,0,0,0,1
5,14,PARAS TRADERS, 2 ,7,1,1,"2,47,125",0,"3,44,925",0,0,"1,82,500","1,83,520",0,"1,74,375",1
1,13,PARAYIL AGENCIES, 2 ,15,2,1,"2,49,878","1,82,239",0,"1,33,453","2,73,146",0,0,0,0,1
2,27,Paridhi iron store, 2 ,15,2,1,"4,06,977","3,25,807","4,73,826","4,61,808","3,48,302","4,65,543","8,08,644","3,06,240","4,61,731",1
2,8,PARKASH IRON STORE, 2 ,13,2,2,"5,05,200","3,04,870","3,23,218","3,18,174","6,70,835","3,66,000","5,40,508","8,01,320","14,58,663",1
4,7,PARMAR MUKESHBHAI AMARSHINBHAI, 2 ,5,1,1,0,0,0,0,0,0,0,0,0,1
2,21,PARMJIT SINGH BROTHERS, 2 ,14,2,1,"74,057","2,98,756","2,60,687","5,78,149","4,52,611","5,25,476","1,80,600","3,66,145","2,91,720",1
4,15,PARSHVA TRADING CO, 1 ,9,2,2,0,0,0,0,0,0,0,"92,565",0,0
1,24,PARVATHI STEELS, 2 ,4,2,1,"76,468",0,"52,921",0,"26,330",0,0,0,0,1
5,5,PASSIVE INFRA PROJECTS PVT. LTD.  (, 2 ,8,2,1,"2,27,100",0,0,0,0,0,0,0,0,1
1,1,Patchipulusu Steel & Cements, 2 ,8,2,1,"4,15,146","2,80,226","2,19,228","2,53,822","2,12,807","2,00,400","2,11,549","2,00,518","2,11,288",1
4,7,PATEL BROTHERS & CO, 2 ,10,2,1,"12,95,520","4,16,445","7,06,278","9,10,615","10,27,029","97,694","9,50,826","4,23,606","18,01,057",1
4,7,PATEL HIMANSHU BHOGILAL & CO, 2 ,4,2,1,"1,22,790",0,0,0,0,0,0,"1,16,533","1,24,380",1
4,7,PATEL TRADERS, 2 ,9,2,1,0,0,"2,00,115","64,021","1,31,149","3,26,525","2,45,883",0,"1,49,987",1
1,13,PATHIPPALLIL AGENCIES, 2 ,12,2,1,"6,14,608","3,72,727","4,67,138","1,44,332","6,18,967","2,61,076","1,77,792","2,10,642","3,06,337",1
4,15,PATIL TRADERS, 2 ,16,2,1,"9,25,088","2,35,700","3,43,960","5,95,915","10,84,913",0,"5,25,303","7,09,145","9,38,734",1
3,20,PATRO  AGENCIES, 2 ,15,2,1,0,0,0,0,0,0,0,0,"2,62,350",1
3,29,PAUL ENTERPRISES, 2 ,16,2,2,"16,97,820","7,13,278","2,54,807","12,51,996","17,09,370","7,03,028","8,29,763","9,74,379","10,37,092",1
1,12,PAVAN TRADERS, 2 ,7,2,1,0,0,0,0,0,0,0,0,0,1
1,12,PAVITHRA AGENCIES, 2 ,5,1,1,0,0,0,0,0,0,0,0,0,1
5,14,PAWAN AND COMPANY, 2 ,10,2,1,"1,77,030",0,0,0,0,0,0,0,0,1
2,27,Pawan building material, 2 ,9,1,1,0,0,0,0,0,0,0,0,0,1
5,14,PAWAN KUMAR RISHABH KUMAR JAIN, 2 ,9,2,1,0,0,0,0,0,0,0,0,0,1
4,7,PAYAL PROCESS, 1 ,8,1,1,"1,75,420",0,0,"2,47,942",0,0,0,0,0,0
1,13,PAZHANCHERI HARDWARE, 1 ,7,2,1,0,"1,16,012",0,0,"1,24,716",0,0,0,0,0
1,13,PAZHANGERIL HARDWARES, 2 ,7,2,1,"1,31,856",0,0,0,0,0,0,0,0,1
1,13,PEARL ENTERPRISES, 2 ,12,2,2,"23,41,165","15,36,837","24,69,565","16,66,497","29,41,662","8,14,973","15,58,863","21,70,870","15,56,719",1
2,28,PEGIA HARDWARE, 2 ,11,2,2,"34,96,586","16,21,264","15,17,978","11,26,804","32,77,202","8,95,725","17,08,089","31,16,264","32,96,150",1
1,24,PERIYANAYAKI TRADING COMPANY, 2 ,11,2,1,"1,24,800",0,"1,22,943","1,47,510","2,81,400","1,58,250",0,0,0,1
5,14,PHOENIX POULTRY, 2 ,7,2,2,0,0,0,0,0,0,"5,20,950",0,0,1
2,8,PICCADILY AGRO INDUSTRIES LTD, 2 ,5,1,1,0,0,0,0,0,0,0,0,0,1
5,14,PINTU TRADERS, 2 ,11,2,1,"9,65,648","2,42,550","1,83,750","2,35,760","7,65,840",0,0,"2,26,925","2,48,150",1
1,12,PIPES & STEEL CORPORATION, 2 ,10,2,2,"11,22,886","2,26,347","80,108",0,0,"1,72,618",0,0,0,1
1,13,PIPES INDIA, 2 ,13,2,2,"11,23,695","7,12,429","4,23,184","8,44,680","15,38,184","3,80,429","2,28,540","4,51,992","11,30,417",1
2,21,PIRTHI CHAND & SONS, 2 ,13,2,2,0,0,0,0,"1,56,949",0,0,0,"1,56,000",1
1,13,PJM AGENCIES, 2 ,16,2,1,"5,44,675","1,64,992","2,24,846","1,78,885","3,02,051","1,43,787","2,33,534","1,97,722","2,93,997",1
1,24,PODANUR WORKS.(INTERNAL), 2 ,4,1,1,0,377,0,"3,175",0,0,0,0,0,1
1,12,POOJA AGENCY, 1 ,14,2,1,"4,61,197","3,25,323","1,87,795","1,96,829","3,50,696","2,20,262","2,74,502","1,56,737","5,55,142",0
3,20,POOJA HARDWARE STORES, 2 ,15,2,1,"10,17,587","5,94,762","2,66,955","4,48,562","9,31,746","13,27,972","15,40,521","17,69,712","22,01,965",1
2,27,POOJA TRADERS, 2 ,8,2,1,"1,31,080","1,52,899","3,73,919","98,801","3,36,220","3,02,382","4,38,208","2,20,924","4,53,037",1
4,15,POONAM BUILDING MATERIAL SUPPLIERS, 2 ,8,2,1,"1,21,435",0,"4,48,700","3,66,132",0,0,0,0,0,1
1,24,POORNIMA PATHIRAKADAI, 2 ,6,2,1,0,"1,86,839","25,716","36,348","1,64,421",0,"38,384","31,800",0,1
1,24,POORNIMA TIMBERS, 2 ,5,2,1,0,0,0,0,0,0,0,0,0,1
1,13,POPSONS TRADE CENTRE, 2 ,6,2,1,"4,01,934","1,94,402","3,37,675","4,25,217","2,12,097","1,17,238","2,54,913","1,38,232","2,68,150",1
3,29,POPULAR CEMENT TRADERS, 2 ,16,2,2,"24,11,891","6,04,249","5,65,886","11,00,064","18,29,100","9,77,453","9,34,029","16,80,353","22,92,762",1
1,13,POPULAR HARDWARE, 2 ,8,2,1,"3,32,004","83,707",0,"65,533","1,29,685",0,"1,19,472","52,850","1,40,284",1
1,13,POPULAR METALS, 2 ,16,2,1,"2,66,470","1,27,198",0,"1,25,999","2,68,502","1,43,826",0,"1,27,084","3,23,439",1
1,13,POPULAR STEELS & TUBES, 2 ,6,2,1,"2,13,402",0,0,"1,08,993","1,41,244",0,0,"1,18,098","1,94,760",1
1,13,POPULAR STORES, 2 ,6,2,1,"1,22,879",0,0,"1,26,690","1,23,433",0,0,"1,21,906",0,1
1,13,POPULAR TRADERS (EDAVANNAPPARA), 2 ,10,2,1,"3,73,247","2,02,061","2,69,100","1,81,893","4,16,426","2,30,174","2,34,073","1,20,817","2,85,264",1
1,24,PORUR HARDWARES, 2 ,9,2,1,"5,68,563","3,23,896","6,57,790","6,47,811","3,75,783","3,54,623","2,07,724","5,35,641","4,30,412",1
1,24,POWER ELECTRICALS, 2 ,11,2,1,"1,28,700","1,42,941","1,27,050","1,43,274",0,0,0,0,0,1
1,24,PRABAKARAN STEEL, 2 ,14,2,1,"6,65,318","10,62,421","4,41,896",0,"6,60,945","2,01,540","3,66,190","3,68,761","6,84,210",1
1,12,PRABHU TRADERS, 2 ,13,2,1,"58,65,206","21,50,988","41,19,280","60,87,856","90,18,638","36,35,298","44,82,701","72,68,640","1,01,03,183",1
4,15,PRADHAN & CO., 2 ,15,2,2,"12,22,200","2,11,000","8,20,865","10,49,300","8,81,138","1,14,600","88,875","8,19,080","10,85,450",1
3,20,PRADHAN ENTERPRISES, 2 ,14,2,1,"6,20,254","3,06,412","1,60,786","3,22,889","7,46,680","2,78,746",0,"3,00,156","6,73,605",1
5,27,PRADHAN IRON STORES, 2 ,16,1,1,"10,87,156","59,307",0,0,0,0,0,0,0,1
